demand_electricity,electricity_balance,pv,soc,delta_battery,supply_grid_power,heat_pump
-0.0,-2.9161999999996624,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.3518000000003667,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.130200000003242,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.8345999999983178,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.65099999999984,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.1000000000003638,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.0028000000020256,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.1656000000002678,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.0420206224960333,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.28150666624889414,0.0,0.2,0.0,0.0,-0.0
-0.0,-0.34391502625049186,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.4638991050014756,0.0,0.2,0.0,0.0,-0.0
-0.0,0.0,0.0,0.2862591430250618,-1.43765238375103,0.0,-0.0
-0.0,-0.44737137291361634,0.0,0.2,1.1644984308383344,0.0,-0.0
-0.0,-4.337703792499479,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.66520323500436,0.0,0.2,0.0,0.0,-0.0
-0.0,-4.752999999993335,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.966199999998935,0.0,0.2,0.0,0.0,-0.0
-0.0,-4.698800000003757,0.0,0.2,0.0,0.0,-0.0
-0.0,-5.431399999997666,0.0,0.2,0.0,0.0,-0.0
-0.0,-4.864600000002611,0.0,0.2,0.0,0.0,-0.0
-0.0,-4.60399999999936,0.0,0.2,0.0,0.0,-0.0
-0.0,-3.397800000002462,0.0,0.2,0.0,0.0,-0.0
-0.0,-2.732399999997142,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.9013999999988302,0.0,0.2,0.0,0.0,-0.0
-0.0,-1.4976000000006024,0.0,0.2,0.0,0.0,-0.0
